id,name,brand,address.addr1,address.city,address.region,address.country,latitude,longitude,check_in_at,check_in,check_out_at,check_out,event,nights,sale_price,taxes,total_price,url
57f23388-603d-4f8b-b5f7-baa0af8b0365,Hilton Meadowlands East Rutherford,Hilton,Two Meadowlands Plz,East Rutherford,NJ,US,40.8062,-74.07809,5/21/2023 0:00,"Sun, May 21",5/21/2023 19:00,"Sun, May 21",Morgan Wallen One Night At A Time World Tour East Rutherford,1,320,56,376,https://www.gohoken.com/hotels/57f23388-603d-4f8b-b5f7-baa0af8b0365/aae8f0ca-4608-472e-9c00-dbb2e89756cd
20a7736c-cb91-402f-ab3c-273a8859d7fc,Hampton Inn Carlstadt-At The Meadowlands,Hilton,304 Paterson Plank Rd,Carlstadt,NJ,US,40.82979,-74.08305,5/26/2023 23:00,"Fri, May 26",5/27/2023 19:00,"Sat, May 27",The Eras Tour Taylor Swift East Rutherford,1,814,143,957,https://www.gohoken.com/hotels/20a7736c-cb91-402f-ab3c-273a8859d7fc/935a7e16-4ed7-4028-8cbd-1ffa4c529880
5f236507-9e42-4c32-8bce-57c70013ae6c,Hampton Inn & Suites Seattle-Downtown,Hilton,700 5th Ave N,Seattle,WA,US,47.625975,-122.34691,7/19/2023 0:00,"Wed, Jul 19",7/19/2023 19:00,"Wed, Jul 19",The Celebration Tour Madonna Seattle ,1,349,58,407,https://www.gohoken.com/hotels/5f236507-9e42-4c32-8bce-57c70013ae6c/9e25b2bd-333a-4b89-91b9-bf302e59e120
b1561e79-ddec-49ba-aae0-76ffa975ea21,Homewood Suites by Hilton Seattle Downtown,Hilton,206 Western Ave W,Seattle,WA,US,47.620375,-122.359705,7/19/2023 0:00,"Wed, Jul 19",7/19/2023 20:00,"Wed, Jul 19",The Celebration Tour Madonna Seattle ,1,459,74,533,https://www.gohoken.com/hotels/b1561e79-ddec-49ba-aae0-76ffa975ea21/9e25b2bd-333a-4b89-91b9-bf302e59e120
ed0dba5a-92bc-4c31-996d-f3608c8cc3f9,Hilton Garden Inn Minneapolis University Area,Hilton,511 SE Huron Blvd,Minneapolis,MN,US,44.97096,-93.22271,7/20/2023 23:00,"Thu, Jul 20",7/21/2023 19:00,"Fri, Jul 21",Beyonce Renaissance World Tour Minneapolis ,1,202,28,230,https://www.gohoken.com/hotels/ed0dba5a-92bc-4c31-996d-f3608c8cc3f9/89828300-8792-4202-a07b-bb1aee1682f2
f062df60-dcde-4de5-8a76-798be2893a79,Hilton Chicago,Hilton,720 S Michigan Ave,Chicago,IL,US,41.872265,-87.625266,7/22/2023 23:00,"Sat, Jul 22",7/23/2023 19:00,"Sun, Jul 23",Beyonce Renaissance World Tour Chicago,1,269,46,315,https://www.gohoken.com/hotels/f062df60-dcde-4de5-8a76-798be2893a79/b86d43ab-a525-4289-b954-93e0f24b71b0
7432eb95-fa02-4c67-b7ce-b6216a3b713a,Hilton Santa Clara,Hilton,4949 Great America Parkway Santa Clara,Santa Clara,CA,US,37.40255,-121.97749,7/29/2023 0:00,"Sat, Jul 29",7/29/2023 19:00,"Sat, Jul 29",The Eras Tour Taylor Swift Santa Clara,1,699,95,794,https://www.gohoken.com/hotels/7432eb95-fa02-4c67-b7ce-b6216a3b713a/b43fe58f-9655-4332-b18d-ea1c83f18bd5
57f23388-603d-4f8b-b5f7-baa0af8b0365,Hilton Meadowlands East Rutherford,Hilton,Two Meadowlands Plz,East Rutherford,NJ,US,40.8062,-74.07809,7/30/2023 0:00,"Sun, Jul 30",7/30/2023 19:00,"Sun, Jul 30",Beyonce Renaissance World Tour East Rutherford,1,280,49,329,https://www.gohoken.com/hotels/57f23388-603d-4f8b-b5f7-baa0af8b0365/dd0a7413-1310-42c7-8eb6-45605e9c302e
bd078a6c-bdb8-4aa8-a863-33f87f81a41c,Hilton Garden Inn Cleveland Twinsburg,Hilton,8971 Wilcox Dr I480,Twinsburg,OH,US,41.31477,-81.45697,8/4/2023 23:00,"Fri, Aug 4",8/6/2023 20:00,"Sun, Aug 6",Twins Days Festival,2,449,136,1034,https://www.gohoken.com/hotels/bd078a6c-bdb8-4aa8-a863-33f87f81a41c/145096f6-4541-427c-9485-1a9a985449fb
44e92661-2a44-4a7c-8fce-ebdafd4ae674,Hampton Inn & Suites Cincinnati Liberty Township,Hilton,7320 Tylers Pl Blvd,West Chester Township,OH,US,39.36619,-84.367965,8/11/2023 23:00,"Fri, Aug 11",8/13/2023 19:00,"Sun, Aug 13",Voice Of America Country Music Fest,2,236,59,531,https://www.gohoken.com/hotels/44e92661-2a44-4a7c-8fce-ebdafd4ae674/0b172671-cf3f-467f-817b-348e59afda1c
