ID,Hotel,Check_in,Check_out,City,Last Stage
3f85c9b0-b3e5-4b66-97d5-24b69da504e8,Courtyard by Marriott Phoenix Downtown,"Sun, Jul 23","Sun, Jul 23",Phoenix,check-in date entered
cf0d89bc-c0bf-4f1a-8a82-61d7572926ff,Residence Inn by Marriott Phoenix Downtown,"Sun, Jul 23","Sun, Jul 23",Phoenix,check-in date entered
364e7cfe-bc8c-4bfc-93ff-f1081b3f1e26,Residence Inn Pittsburgh North Shore,"Fri, Aug 4","Fri, Aug 4",Pittsburgh,reverted city addition
ce731037-508e-450d-ad48-420281d0cb45,Pittsburgh Marriott City Center,"Tue, Aug 8","Tue, Aug 8",Pittsburgh,check-in date entered
59c04beb-88d1-4990-b430-cb83162e7b4f,Residence Inn by Marriott Charlotte Uptown,"Wed, Aug 9","Thu, Aug 10",Charlotte,check-out date entered
d3fee028-9c01-4ffa-95d0-83697fd40ec2,"Le M̩ridien Tampa, The Courthouse","Wed, Aug 16","Thu, Aug 17",Tampa,reverted city addition
b4735903-9003-4d31-a658-7d3132190128,Marriott St. Louis Grand,"Tue, Aug 22","Tue, Aug 22",St Louis,check-in date entered
d3fee028-9c01-4ffa-95d0-83697fd40ec2,"Le M̩ridien Tampa, The Courthouse","Thu, Sep 7","Fri, Sep 8",Tampa,reverted city addition
6074443c-ce98-4c73-b5f6-6d0c652af63f,Tampa Marriott Water Street,"Fri, Sep 8","Fri, Sep 8",Tampla,check-in date entered
90486b74-43bc-492a-84bf-e9256de42db6,"The CURRENT Hotel, Autograph Collection","Fri, Sep 8","Fri, Sep 8",Tampa,check-in date entered
66ca8f25-3311-4176-a71e-0def02281f3d,San Diego Marriott Mission Valley,"Thu, Sep 28","Thu, Sep 28",San Diego,check-in date entered
e430b4f4-0b47-4101-985e-5278c3f5a91d,Courtyard Los Angeles Pasadena/Old Town,"Sun, Oct 1","Sun, Oct 1",Pasadena,check-in date entered
e0cdf2ae-0859-4cb6-9955-425d0cf3540b,Residence Inn Los Angeles Pasadena/Old Town,"Sun, Oct 1","Sun, Oct 1",Pasadena,check-in date entered
b0949f78-06e7-4653-b72e-224f7040af10,The Stephen F Austin Royal Sonesta Hotel,"Fri, Mar 10","Sun, Mar 12",Austin,check-out date entered
4d099ead-9ea1-4a50-937e-9c4878f9c460,Four Points by Sheraton Downtown Seattle Center,"Tue, Jul 18","Wed, Jul 19",Seattle,check-out date entered
4d099ead-9ea1-4a50-937e-9c4878f9c460,Four Points by Sheraton Downtown Seattle Center,"Wed, Sep 13","Thu, Sep 14",Seattle,check-out date entered
5364a6f1-b974-4aef-9c7c-b659e2c305ee,Sonesta Columbus Downtown,"Sat, Mar 18","Sun, Mar 19",Columbus,check-out date entered
